Thepa	Theca	Carpa	Arath
1	1	1	1
1	1	1	1
0	1	1	1
1	2	1	1
1	1	0	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
3	2	1	4
1	1	1	2
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
3	3	3	3
2	2	1	2
2	1	2	1
2	1	0	2
1	1	1	1
1	1	1	2
1	2	1	2
2	1	1	2
1	1	0	1
1	1	1	1
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
13	29	10	17
1	1	1	1
4	4	4	4
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
2	2	1	2
1	1	1	1
2	1	1	2
1	1	2	1
2	28	0	4
1	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
1	1	1	1
1	2	1	1
2	1	1	2
0	1	0	2
2	5	0	2
0	1	1	0
2	1	1	2
1	1	1	1
2	1	1	2
0	2	0	1
1	1	1	2
1	1	0	1
1	1	1	2
1	1	1	1
3	1	1	3
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	1	1	2
0	1	1	0
1	2	0	1
1	1	0	1
1	1	1	2
0	1	1	1
0	1	1	0
0	1	1	0
1	1	1	2
2	2	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
0	5	1	0
2	2	2	2
1	1	0	1
0	1	1	0
1	1	1	1
1	1	1	1
4	2	2	4
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
4	3	2	4
1	1	1	1
1	1	0	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
0	1	1	0
0	10	3	0
0	1	1	0
0	1	1	0
1	1	1	1
2	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	2	1	3
1	1	1	1
1	2	1	1
1	1	1	1
3	2	1	2
1	1	2	1
0	1	1	0
3	5	3	4
3	1	0	3
0	2	1	0
1	1	1	1
1	1	0	1
1	1	2	1
1	1	1	1
2	1	1	2
1	1	1	1
0	1	1	0
2	7	1	2
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	1
0	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
3	2	2	2
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	2	1	1
1	2	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	1	1	2
4	1	1	4
1	4	4	1
0	1	1	0
1	1	1	1
1	1	1	2
2	1	1	4
2	1	1	3
1	1	0	1
2	1	1	2
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	2
2	2	2	2
2	1	1	3
1	2	2	1
1	1	2	3
2	1	2	1
1	1	1	2
2	2	1	3
1	1	1	1
0	1	1	0
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
2	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
4	7	2	3
0	1	1	0
1	1	1	1
1	2	1	1
0	1	1	0
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	0	1
2	2	0	2
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
3	3	1	3
1	1	0	1
1	1	1	1
1	1	1	1
4	2	1	5
3	1	1	3
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
0	1	0	1
2	1	2	2
1	2	1	1
1	1	2	1
1	1	1	1
0	1	1	0
1	1	1	1
2	2	1	2
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
0	1	0	1
0	1	0	1
1	1	0	1
1	1	1	1
1	1	0	1
1	1	1	1
2	1	1	1
2	2	2	3
2	1	1	1
1	1	1	1
0	1	1	1
1	1	0	1
1	1	1	1
0	1	1	0
1	1	1	1
2	1	1	2
2	1	0	2
2	1	1	2
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	6
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	2
1	1	0	1
1	1	1	1
2	2	2	2
2	3	3	2
2	1	1	1
1	1	1	1
3	4	3	4
3	2	0	3
2	2	2	2
1	1	1	1
1	1	1	1
2	2	2	2
2	1	1	1
1	2	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
4	7	1	5
1	1	1	1
1	2	2	2
1	1	1	1
3	4	1	3
2	1	1	2
1	1	0	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
3	3	3	3
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	0	1
1	1	1	1
1	1	2	1
3	1	0	3
1	1	2	1
2	2	1	2
1	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	2
1	1	2	1
1	1	1	1
1	4	0	2
1	1	1	1
7	7	4	9
1	1	1	1
3	1	1	2
0	1	1	0
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	2	1	2
1	1	1	1
1	1	1	1
2	3	1	2
2	2	1	2
2	1	1	2
1	1	0	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	2	1
1	1	1	1
1	1	3	1
2	2	2	2
1	2	1	1
1	2	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
0	2	1	0
1	1	0	1
3	2	1	3
1	1	1	1
1	1	0	1
2	2	1	3
1	2	2	1
1	1	1	1
1	1	1	1
2	1	1	1
0	1	1	0
1	1	0	1
3	4	3	2
1	1	1	1
2	1	1	2
0	1	1	0
1	1	1	1
2	1	1	2
0	1	1	0
2	2	2	2
2	1	1	2
1	1	1	1
0	1	0	2
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	0	1
2	2	1	1
0	1	1	0
0	1	1	0
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
0	3	2	0
1	1	4	1
0	1	1	0
4	2	1	4
1	1	0	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
6	3	2	4
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
2	1	0	2
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	0	1
1	2	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
2	2	1	3
1	2	1	1
1	1	1	2
2	1	1	2
2	1	1	2
1	1	1	1
2	1	1	1
1	2	1	1
1	1	0	1
1	1	2	1
2	2	2	2
0	1	1	0
2	1	1	1
3	3	2	3
3	2	2	2
0	3	1	0
0	2	1	0
1	1	1	1
0	1	1	0
1	1	1	1
1	1	2	2
1	1	1	1
1	1	1	1
2	1	1	2
0	2	1	0
2	2	2	2
1	1	1	1
1	1	1	1
2	1	0	2
1	1	3	1
1	1	0	1
2	1	1	1
3	1	1	3
1	1	1	1
1	1	1	5
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
2	1	1	1
2	1	1	2
1	1	1	1
4	6	3	3
2	1	1	2
4	4	1	4
4	2	2	4
1	2	2	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	1
0	1	1	0
1	1	1	1
1	1	0	1
1	1	1	1
1	1	2	1
1	3	2	4
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
5	3	3	8
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
2	1	1	2
1	1	2	1
4	1	1	1
2	58	9	0
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	0
2	1	1	1
2	2	1	2
1	1	1	2
2	1	1	2
4	3	2	5
1	1	1	1
1	1	1	1
1	5	1	1
1	1	1	1
1	1	1	1
1	2	0	1
0	1	0	2
1	1	1	1
0	1	1	0
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
0	3	3	0
2	1	1	2
1	1	1	1
1	1	2	1
0	1	1	0
2	1	1	2
1	1	0	1
2	2	1	2
1	1	1	1
1	1	1	2
4	2	2	5
1	1	1	1
1	1	1	1
4	4	3	4
2	2	2	2
2	2	1	1
2	1	1	2
1	2	1	1
1	1	1	1
1	1	1	1
2	2	2	2
0	1	1	0
1	1	1	1
1	1	1	1
1	2	3	2
1	1	3	1
1	1	1	2
1	1	1	1
2	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
3	1	0	3
0	1	1	0
2	2	2	3
1	1	1	1
1	1	1	1
1	1	1	2
0	1	1	0
1	1	1	1
2	1	1	1
2	2	1	2
1	1	1	1
1	1	1	1
1	1	0	1
4	2	1	4
3	3	1	3
1	1	1	1
1	1	1	1
2	1	1	2
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	3	2	2
0	1	1	0
1	2	2	1
1	1	1	1
1	1	1	1
2	2	1	2
1	2	2	4
0	1	1	0
1	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
0	1	1	0
2	2	2	1
5	18	5	5
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
2	1	1	2
4	3	2	6
1	2	2	1
1	1	1	1
2	3	3	3
1	1	1	1
3	2	2	2
2	1	1	2
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
1	1	1	1
2	1	0	2
0	2	0	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
0	1	1	0
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	3	2	2
1	1	1	1
1	1	2	1
1	2	2	1
1	1	1	1
2	3	1	1
1	1	1	1
2	2	2	2
2	1	0	1
1	1	1	1
2	1	1	2
4	2	2	4
2	2	0	2
1	1	0	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
2	3	2	3
0	1	1	0
1	1	1	1
2	2	1	2
2	1	1	2
1	1	1	1
3	1	1	3
0	1	1	0
0	1	1	0
1	1	1	1
2	1	1	1
4	5	4	4
2	1	1	2
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
2	1	1	2
3	1	1	1
0	1	1	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
0	1	1	0
4	3	2	5
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	0
2	3	1	3
1	1	1	1
1	1	1	1
0	2	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	2	2
2	3	1	2
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
0	1	1	0
1	2	1	1
2	1	2	2
2	2	2	2
2	1	1	2
2	1	1	1
2	2	1	3
2	2	2	1
0	1	1	0
1	1	1	1
0	3	2	1
2	2	1	2
3	1	1	3
1	1	1	1
2	2	2	2
1	1	2	1
1	1	1	3
1	1	0	1
1	1	1	1
1	2	0	1
1	2	0	1
2	1	1	2
0	1	1	0
1	1	1	1
0	1	1	0
1	1	2	1
10	11	9	8
1	4	0	1
1	1	1	1
1	1	1	1
1	1	0	1
0	1	1	0
1	1	1	1
0	5	1	0
1	1	1	1
1	1	1	1
2	2	1	2
1	2	2	1
1	1	1	1
1	1	0	1
3	3	3	3
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
3	2	2	2
1	1	1	1
1	1	4	1
1	1	1	1
1	1	1	1
2	2	1	1
1	2	2	2
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
2	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	4	5	2
0	1	1	0
2	1	1	1
2	1	1	2
2	2	2	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
2	1	1	1
1	3	1	2
4	4	1	4
1	1	1	1
1	1	1	1
1	2	1	2
1	1	1	1
1	1	1	2
1	2	2	1
0	1	1	0
0	1	1	0
1	1	0	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	2	1	1
1	1	1	1
1	1	1	2
0	68	2	2
0	1	1	1
3	1	1	2
2	1	1	2
1	1	1	1
1	4	1	1
1	7	1	1
4	3	2	4
2	1	1	2
1	1	1	2
1	1	1	1
2	2	2	2
3	1	0	3
0	1	1	0
2	1	1	2
1	1	1	1
0	1	1	0
2	1	0	1
0	1	1	0
1	1	0	1
0	1	1	0
0	1	1	0
1	1	1	1
1	1	1	1
1	1	0	0
1	1	1	1
1	1	2	1
1	1	1	1
2	1	0	2
1	1	1	1
1	1	0	1
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	0
0	1	1	0
1	1	1	1
0	1	1	0
1	2	2	1
0	1	1	0
1	1	1	1
2	1	1	2
1	1	1	1
2	1	1	2
3	2	2	3
2	2	2	2
2	1	1	2
1	1	0	1
1	1	1	0
0	1	1	0
1	1	1	1
3	2	1	2
1	2	1	1
1	1	1	2
2	2	2	1
1	1	2	1
1	1	0	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
2	3	2	3
1	1	0	1
1	1	1	2
1	1	2	1
1	2	1	1
1	1	0	1
2	1	1	2
2	2	2	3
2	4	3	3
1	1	1	1
0	1	1	0
2	2	2	2
3	2	2	3
1	1	1	1
0	1	1	0
1	1	1	1
2	2	1	2
1	1	1	1
2	2	2	3
1	1	0	1
1	1	1	1
1	1	1	1
5	4	1	5
1	2	1	1
2	2	1	2
3	1	1	3
2	1	1	1
1	2	2	1
1	1	1	1
2	1	1	2
2	1	0	2
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	2	2	1
1	1	2	1
0	1	1	0
0	1	1	0
2	2	0	2
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
0	17	2	1
1	1	1	1
3	2	3	4
1	1	1	1
0	3	2	0
1	1	1	1
2	1	1	2
0	1	1	0
8	6	4	8
2	1	1	2
0	1	1	0
2	2	2	2
2	1	1	3
2	4	2	1
1	1	1	1
1	1	2	1
1	1	1	1
6	5	5	7
1	1	0	1
1	1	1	1
0	1	1	0
1	2	0	1
1	2	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
3	1	1	2
1	1	1	1
2	1	1	2
1	1	1	2
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
2	2	1	2
3	2	1	3
0	2	1	0
1	2	3	5
3	3	2	3
2	64	7	2
1	1	0	1
0	1	1	0
2	2	2	2
2	3	3	2
1	1	1	1
4	3	2	5
1	1	1	2
3	1	1	3
1	1	1	1
9	4	4	10
1	1	1	1
1	3	2	1
0	1	0	1
1	1	1	1
2	1	1	2
6	4	3	5
1	1	1	1
1	1	0	1
0	5	1	1
2	2	1	2
2	2	2	1
1	1	1	1
3	1	1	3
0	1	1	0
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	0	1
1	1	1	1
1	2	2	1
1	1	1	1
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	2	2
1	1	2	1
1	1	1	2
1	1	0	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	2	2	2
1	1	1	1
0	1	1	0
1	1	1	1
2	3	3	3
1	1	1	1
1	1	1	2
0	2	1	0
2	2	1	2
1	1	1	1
0	1	1	0
2	1	3	2
5	5	3	5
5	5	4	6
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	2	2	2
1	1	1	2
0	1	1	0
1	1	1	1
0	1	1	0
1	1	1	1
2	1	1	2
0	1	1	0
1	1	1	1
2	1	2	3
1	2	2	2
1	2	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	5	0	3
1	1	1	1
2	2	1	2
2	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
2	3	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	0	1
2	1	1	1
2	2	1	2
1	1	1	1
2	1	1	2
0	1	1	0
1	1	1	1
1	1	0	1
2	1	1	3
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
6	7	9	8
3	1	1	3
2	1	1	2
5	3	1	5
1	1	1	1
1	1	1	1
2	2	1	2
6	2	1	13
1	1	1	2
1	1	1	1
0	1	1	0
1	1	0	2
1	1	1	1
1	1	1	1
1	1	1	1
2	2	3	3
2	3	3	2
1	1	1	1
1	1	1	1
2	1	1	1
2	2	1	2
1	1	1	1
3	3	3	3
2	1	1	2
2	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	2	1
4	3	2	4
2	2	2	2
1	1	1	1
3	2	2	3
1	2	1	1
1	1	0	1
1	1	2	1
2	1	1	2
1	1	1	1
1	1	1	1
2	3	3	2
1	1	1	1
1	1	0	0
2	1	1	2
1	1	1	1
1	3	1	1
1	1	1	1
2	2	2	2
2	2	1	2
1	1	1	1
2	1	1	2
4	3	0	8
1	1	1	1
0	1	1	1
1	1	1	1
2	2	1	2
1	2	2	1
1	1	1	1
0	2	1	0
1	1	1	1
2	2	1	1
1	1	1	1
1	1	0	1
1	1	1	1
0	4	1	0
2	2	2	2
2	1	1	2
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	2	1
1	1	1	1
1	2	0	1
1	1	1	1
3	3	2	3
1	1	1	1
1	1	1	1
1	2	1	1
0	1	1	0
1	1	1	1
1	1	2	1
3	1	0	3
1	1	1	1
4	2	2	3
0	1	0	2
1	2	1	1
0	1	1	0
1	1	1	1
1	2	2	1
1	2	1	1
1	1	1	1
0	1	1	0
1	1	0	1
1	1	1	1
1	1	0	1
1	2	1	1
2	2	2	2
1	1	2	1
2	2	2	2
1	1	0	1
0	1	1	0
0	1	1	0
2	1	1	2
1	1	1	1
1	1	1	1
2	3	2	2
1	1	1	1
1	1	1	1
2	1	0	2
1	1	0	2
1	1	1	1
3	2	2	3
2	1	2	1
1	1	1	1
1	1	1	1
1	2	3	1
1	5	0	1
0	3	1	1
1	1	1	1
2	1	1	2
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	0	1
3	2	1	4
1	1	1	2
15	2	1	13
3	3	2	3
1	2	2	1
1	2	1	2
1	1	1	1
3	1	1	4
0	3	1	2
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
6	2	1	3
1	1	1	1
1	1	2	1
1	1	1	2
1	1	1	1
1	1	0	1
1	1	1	1
1	1	0	1
0	1	1	0
1	1	2	2
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
2	2	2	2
1	1	2	1
2	1	0	2
1	1	2	1
1	1	1	1
1	1	0	1
1	2	1	1
2	1	1	1
1	1	0	1
0	1	1	0
4	4	3	5
1	1	1	1
1	2	1	1
2	1	1	2
5	8	6	6
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
2	2	2	2
1	1	1	1
1	1	1	1
2	1	0	2
1	1	1	1
3	1	1	4
1	1	1	1
0	1	1	0
1	1	1	1
0	1	74	0
1	1	1	1
8	7	5	9
1	1	1	1
1	1	1	1
1	1	0	2
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
2	2	2	1
3	2	1	3
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	2	1	1
3	2	1	2
1	1	3	2
2	2	2	2
1	1	2	1
2	1	1	2
2	1	1	2
1	1	0	1
0	1	1	0
1	3	2	1
1	1	1	1
0	1	1	0
1	1	1	1
1	2	1	1
1	1	1	1
0	1	1	0
1	1	1	1
0	1	0	1
1	1	1	1
2	1	1	2
5	4	2	5
1	1	1	1
2	1	0	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	2	1	1
1	1	1	1
1	1	1	1
2	1	2	1
1	1	1	1
1	1	1	1
1	2	2	1
2	1	1	2
1	2	0	1
0	1	1	0
0	2	1	0
1	1	1	1
2	1	1	1
2	1	1	2
0	2	1	0
1	1	1	1
1	1	1	1
7	9	7	8
1	1	0	1
1	1	1	1
1	1	1	1
2	1	1	2
0	1	1	1
1	1	1	1
2	1	1	2
2	1	0	2
1	1	0	1
2	2	0	3
1	1	1	1
1	1	1	1
0	1	1	0
2	1	1	2
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	2	2
1	1	1	2
0	1	1	0
1	2	1	1
1	1	2	1
1	1	1	1
3	1	1	1
1	1	1	1
1	1	2	2
1	1	1	1
1	1	1	1
1	1	1	1
5	3	3	6
2	1	1	2
3	1	2	2
2	1	1	1
1	1	1	1
1	1	0	1
0	2	1	0
1	2	1	1
1	1	1	1
0	1	1	0
1	2	1	1
1	1	1	1
1	3	1	1
4	2	3	5
0	1	1	0
1	1	1	1
0	1	1	0
0	1	1	0
1	1	1	1
2	1	1	2
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
2	6	1	2
0	2	2	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
2	3	1	1
0	1	1	1
1	1	1	1
1	1	0	1
1	2	0	1
2	2	1	2
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
3	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
2	1	1	0
1	1	1	1
1	2	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	5	4	0
1	1	0	1
3	1	3	4
19	10	10	22
1	1	1	1
1	1	1	1
1	1	1	3
1	1	2	1
2	1	0	2
1	1	1	1
1	1	1	1
1	1	2	1
2	1	1	1
2	1	1	2
0	1	1	1
1	1	1	1
0	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
0	1	0	1
1	1	2	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	2
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
2	2	2	2
1	2	1	1
1	1	1	1
2	1	1	1
0	21	2	0
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
2	2	1	2
1	1	1	1
2	1	1	1
1	1	1	1
0	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
2	2	1	1
2	1	1	2
1	1	2	1
1	1	1	1
2	3	2	2
1	1	0	1
2	1	0	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	2	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
2	3	1	2
1	1	1	0
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	3
1	2	0	1
1	1	0	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	0	1
2	1	1	2
4	3	3	4
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	0	1
3	2	1	3
3	2	1	4
2	1	1	2
1	2	0	0
2	1	1	2
1	1	1	1
2	1	1	1
2	2	1	2
1	1	2	1
0	1	1	0
1	1	2	1
0	1	0	1
1	1	1	1
2	2	0	2
1	1	1	1
1	2	0	2
2	1	1	3
2	1	1	2
1	1	1	1
1	1	1	1
2	2	2	2
2	19	2	3
0	1	1	0
2	2	2	2
2	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
2	1	3	2
1	1	1	1
3	2	1	2
1	1	1	1
1	1	1	1
3	2	3	3
0	1	1	0
1	2	2	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	0	1
2	2	1	1
1	1	0	2
1	1	1	1
3	3	1	1
1	1	1	1
1	1	2	1
2	2	1	2
2	1	1	1
1	1	1	1
1	1	1	2
2	2	1	2
1	1	1	1
2	1	1	1
0	1	1	0
1	1	1	1
1	4	2	1
1	1	2	2
1	1	2	1
1	1	1	1
2	2	1	2
1	1	1	1
2	2	2	3
1	1	1	1
2	2	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	2	1
1	1	1	1
2	1	1	2
0	1	1	0
1	1	1	2
2	1	2	2
2	1	1	1
1	1	0	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
6	9	7	14
1	1	0	1
1	1	1	1
2	1	1	2
1	1	0	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	2	1	1
0	1	1	0
2	2	0	2
0	1	1	0
0	1	1	0
2	5	1	2
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
2	1	1	1
1	1	0	1
0	1	1	0
1	1	1	1
2	1	1	2
1	1	1	1
1	1	2	1
1	1	1	1
2	2	2	2
2	1	0	1
1	1	1	1
2	2	2	2
2	1	1	7
0	1	1	0
1	1	1	1
0	1	1	1
1	1	0	1
1	1	0	1
1	1	1	1
1	1	1	1
6	4	2	5
1	1	1	1
2	2	2	3
1	1	1	1
1	1	0	1
1	1	1	1
4	3	1	5
2	1	2	2
1	1	0	1
2	2	1	1
0	1	1	0
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
4	1	0	16
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	94	3	2
1	1	3	1
2	1	1	2
0	2	1	0
1	1	1	1
2	2	2	2
0	1	1	0
1	1	1	1
2	1	1	2
1	1	1	1
4	3	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	0	1
1	1	0	1
